,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
3379,16657483,73308500,YAU TSIM MONG,22.32002,114.17168000000001,Private room,391,1,4,6,180
3380,16657911,19569224,YAU TSIM MONG,22.29727,114.17465,Private room,336,1,163,18,109
3381,16661308,19569224,YAU TSIM MONG,22.297060000000002,114.17397,Private room,493,1,135,18,120
3382,16665885,14997120,YAU TSIM MONG,22.32229,114.16931000000001,Private room,399,1,46,6,177
3383,16670945,66053517,YAU TSIM MONG,22.30167,114.17447,Entire home/apt,861,3,0,4,205
3384,16685670,39989776,CENTRAL & WESTERN,22.28405,114.14761000000001,Entire home/apt,720,1,149,17,87
3385,16692878,20871221,YAU TSIM MONG,22.3056,114.16073999999999,Entire home/apt,1001,2,96,1,43
3386,16697015,12254766,CENTRAL & WESTERN,22.28621,114.14554,Private room,587,2,4,1,0
3388,16710862,15298049,WAN CHAI,22.27808,114.17858999999999,Entire home/apt,947,1,2,2,0
3389,16711373,36382201,CENTRAL & WESTERN,22.28177,114.14251999999999,Private room,978,2,16,2,0
3390,16711608,76030038,YAU TSIM MONG,22.3165,114.17215,Private room,352,28,5,4,11
3391,16713479,1528911,WAN CHAI,22.276999999999997,114.1707,Entire home/apt,602,3,7,1,0
3392,16718904,9440746,WAN CHAI,22.275570000000002,114.17391,Entire home/apt,493,2,0,1,0
3397,16733455,68598119,YAU TSIM MONG,22.3206,114.15700000000001,Entire home/apt,962,1,11,1,0
3398,16740507,5222957,CENTRAL & WESTERN,22.28505,114.15191999999999,Entire home/apt,3998,1,3,1,0
3399,16742694,13171858,YAU TSIM MONG,22.31183,114.17195,Entire home/apt,1244,1,43,4,332
3401,16743777,15335491,CENTRAL & WESTERN,22.287770000000002,114.14655,Private room,454,1,1,1,0
3402,16744615,38325737,CENTRAL & WESTERN,22.28435,114.1486,Entire home/apt,2504,3,12,1,0
3407,16766385,103092366,YAU TSIM MONG,22.307489999999998,114.16637,Private room,360,1,313,3,18
3408,16767415,111304391,YAU TSIM MONG,22.30706,114.17233999999999,Entire home/apt,532,2,98,1,104
3409,16770729,39915535,CENTRAL & WESTERN,22.28578,114.14079,Entire home/apt,900,4,1,1,0
3410,16770953,3579670,CENTRAL & WESTERN,22.28408,114.15096000000001,Entire home/apt,1001,2,42,1,161
3412,16771322,6973616,CENTRAL & WESTERN,22.28589,114.13943,Private room,352,1,6,1,0
3413,16771878,53656590,WAN CHAI,22.2671,114.1867,Entire home/apt,548,5,3,1,0
3414,16772287,24676635,YAU TSIM MONG,22.31853,114.1719,Entire home/apt,884,1,31,6,364
3415,16773282,57213517,YAU TSIM MONG,22.32245,114.16746,Entire home/apt,884,1,2,7,364
3416,16776551,55790334,WAN CHAI,22.2784,114.18005,Entire home/apt,1283,1,157,4,75
3417,16778197,111422829,WAN CHAI,22.27891,114.1804,Entire home/apt,1447,1,84,3,284
3419,16785208,16759668,CENTRAL & WESTERN,22.28793,114.14325,Entire home/apt,696,3,2,2,0
3420,16787374,8488896,CENTRAL & WESTERN,22.28792,114.14502,Entire home/apt,751,3,7,1,0
3421,16789363,108543091,CENTRAL & WESTERN,22.28719,114.14348999999999,Entire home/apt,861,1,23,1,0
3422,16797594,3507099,YAU TSIM MONG,22.3209,114.16984,Private room,305,1,95,7,85
3424,16800644,111695057,WAN CHAI,22.28634,114.19271,Entire home/apt,368,1,0,1,0
3425,16802470,111713670,CENTRAL & WESTERN,22.28163,114.15476000000001,Entire home/apt,696,14,14,1,205
3426,16802882,64170100,CENTRAL & WESTERN,22.28824,114.14695,Private room,313,1,2,1,0
3427,16807053,94474045,YAU TSIM MONG,22.30036,114.17424,Private room,399,1,10,13,90
3428,16814619,12549724,CENTRAL & WESTERN,22.28557,114.14672,Private room,501,3,2,1,0
3429,16820347,1373101,WAN CHAI,22.27986,114.19333999999999,Entire home/apt,853,4,1,1,0
3430,16821040,94474045,YAU TSIM MONG,22.30105,114.17416000000001,Private room,383,1,52,13,90
3431,16824674,94474045,YAU TSIM MONG,22.30055,114.17432,Private room,602,1,30,13,360
3432,16831639,112025249,CENTRAL & WESTERN,22.28454,114.15123999999999,Entire home/apt,688,5,0,1,0
3433,16837578,17057274,CENTRAL & WESTERN,22.282429999999998,114.12801,Entire home/apt,587,3,2,1,0
3434,16846353,73317365,YAU TSIM MONG,22.31567,114.17215,Private room,203,2,34,3,0
3435,16849271,26560288,CENTRAL & WESTERN,22.282529999999998,114.15331,Entire home/apt,649,4,3,2,0
3436,16851126,86516776,WAN CHAI,22.28031,114.18361999999999,Private room,297,2,2,1,0
3437,16854177,94474045,YAU TSIM MONG,22.30509,114.17286000000001,Private room,696,1,16,13,351
3438,16855024,94474045,YAU TSIM MONG,22.30186,114.17398,Private room,383,1,4,13,365
3439,16855380,94474045,YAU TSIM MONG,22.30175,114.17388000000001,Private room,579,1,22,13,363
3440,16855640,94474045,YAU TSIM MONG,22.30671,114.17133000000001,Private room,649,1,14,13,363
3441,16855838,94474045,YAU TSIM MONG,22.30671,114.17073,Private room,399,1,17,13,365
3442,16856282,94474045,YAU TSIM MONG,22.30711,114.17108,Private room,399,1,34,13,365
3446,16874976,42283361,WAN CHAI,22.26921,114.18768999999999,Entire home/apt,1181,2,5,1,0
3447,16877138,14861546,CENTRAL & WESTERN,22.28629,114.15178999999999,Entire home/apt,571,60,3,100,285
3448,16885429,73317365,YAU TSIM MONG,22.31551,114.17085,Private room,219,2,41,3,0
3449,16886317,108150250,YAU TSIM MONG,22.29659,114.17433999999999,Private room,305,1,20,3,346
3450,16890105,14992387,CENTRAL & WESTERN,22.281670000000002,114.16258,Private room,391,1,0,1,0
3452,16900144,3761512,CENTRAL & WESTERN,22.28645,114.1496,Private room,383,3,14,1,0
3457,16902168,11865785,CENTRAL & WESTERN,22.28438,114.15131000000001,Entire home/apt,1799,2,1,1,90
3459,16904117,95206624,WAN CHAI,22.277839999999998,114.18068000000001,Entire home/apt,1299,4,62,13,64
3462,16907687,112871475,WAN CHAI,22.27834,114.17728999999999,Entire home/apt,751,1,187,1,53
3463,16909939,94474045,YAU TSIM MONG,22.30155,114.17438999999999,Private room,422,1,11,13,180
3464,16919705,112996743,WAN CHAI,22.28054,114.1826,Entire home/apt,900,4,41,3,0
3465,16920079,113004157,CENTRAL & WESTERN,22.281660000000002,114.15288000000001,Entire home/apt,798,5,25,1,0
3469,16932496,14861546,CENTRAL & WESTERN,22.284270000000003,114.15234,Entire home/apt,657,60,0,100,364
3470,16932624,6110860,YAU TSIM MONG,22.30941,114.17058,Private room,289,1,45,32,336
3473,16937684,28981370,CENTRAL & WESTERN,22.280839999999998,114.1545,Entire home/apt,900,4,63,5,8
3474,16938303,6110860,YAU TSIM MONG,22.309260000000002,114.17,Private room,297,1,63,32,326
3477,16941720,94474045,YAU TSIM MONG,22.30558,114.17203,Private room,399,1,29,13,365
3478,16947517,5890688,CENTRAL & WESTERN,22.28622,114.14317,Entire home/apt,782,1,4,1,0
3480,16952227,34642523,YAU TSIM MONG,22.30852,114.16681000000001,Entire home/apt,235,4,10,13,46
3482,16964243,80100729,WAN CHAI,22.28143,114.19291000000001,Entire home/apt,602,7,15,2,26
3483,16965215,25755284,CENTRAL & WESTERN,22.28422,114.14818000000001,Entire home/apt,900,1,18,6,337
3485,16969948,50353207,CENTRAL & WESTERN,22.28675,114.14093999999999,Private room,430,1,33,2,179
3486,16977302,113603261,YAU TSIM MONG,22.301560000000002,114.17545,Entire home/apt,438,1,114,1,339
3488,16981755,5603299,WAN CHAI,22.28011,114.1847,Private room,352,1,0,2,8
3490,16994801,41712531,YAU TSIM MONG,22.30594,114.1723,Private room,352,2,83,3,36
3491,17001994,113180787,WAN CHAI,22.27669,114.17788999999999,Entire home/apt,696,1,148,2,156
3496,17037305,57213517,YAU TSIM MONG,22.31756,114.17193,Entire home/apt,493,1,20,7,365
3501,17049605,2961152,WAN CHAI,22.28058,114.1855,Private room,321,28,4,7,365
3502,17076467,114487573,YAU TSIM MONG,22.302960000000002,114.17628,Entire home/apt,438,1,129,1,348
3504,17081810,97508188,CENTRAL & WESTERN,22.28535,114.15732,Private room,501,1,22,1,180
3505,17082100,113180787,WAN CHAI,22.2771,114.178,Entire home/apt,407,1,167,2,204
3506,17084639,99807654,CENTRAL & WESTERN,22.284329999999997,114.15088,Shared room,602,1,4,5,362
3507,17085295,99807654,CENTRAL & WESTERN,22.28417,114.15071,Shared room,548,1,22,5,362
3508,17085466,24358640,YAU TSIM MONG,22.31652,114.16888,Private room,211,1,96,39,362
3509,17088326,114666159,YAU TSIM MONG,22.30183,114.17405,Entire home/apt,462,1,103,1,356
3510,17101715,24358640,YAU TSIM MONG,22.316,114.16893999999999,Private room,493,2,31,39,362
3511,17101869,24358640,YAU TSIM MONG,22.31748,114.17066000000001,Private room,243,1,166,39,324
3512,17110076,24358640,YAU TSIM MONG,22.315720000000002,114.17081,Private room,305,1,90,39,349
3513,17111813,114921956,CENTRAL & WESTERN,22.28187,114.15132,Private room,571,2,7,1,0
3514,17119460,24173364,CENTRAL & WESTERN,22.286820000000002,114.13848,Entire home/apt,516,2,3,1,0
3515,17130530,57235615,CENTRAL & WESTERN,22.28641,114.14287,Entire home/apt,516,5,2,1,0
3516,17131019,1952723,CENTRAL & WESTERN,22.2819,114.14295,Entire home/apt,751,2,18,2,0
3518,17142596,34789479,WAN CHAI,22.27967,114.1827,Private room,454,1,88,18,79
3519,17142931,29068401,CENTRAL & WESTERN,22.28831,114.14738,Private room,399,1,125,1,0
3524,17149147,6110860,YAU TSIM MONG,22.30956,114.17031000000001,Private room,258,1,23,32,356
3526,17151950,53247930,YAU TSIM MONG,22.31917,114.17176,Entire home/apt,422,1,31,6,298
