,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,cen_lat,cen_long,distance
4564,20585110,9280086,YAU TSIM MONG,22.29739,114.17228999999999,Private room,297,1,134,9,277,22.3080085266259,114.17104818774976,1.1868719415569429
4565,20595455,6067974,WAN CHAI,22.28663,114.19162,Entire home/apt,1197,30,0,23,303,22.275147891304314,114.18205756086955,1.6108706037907548
4566,20598189,9897606,YAU TSIM MONG,22.31801,114.17012,Private room,297,1,48,6,87,22.3080085266259,114.17104818774976,1.1155036200284494
4567,20603361,9134372,YAU TSIM MONG,22.31302,114.16888,Private room,352,28,31,17,0,22.3080085266259,114.17104818774976,0.5998534179094843
4569,20609607,14861546,CENTRAL & WESTERN,22.28465,114.15085,Entire home/apt,657,60,0,100,316,22.284189950400627,114.14648174742455,0.45206772668659717
4570,20609646,120049791,WAN CHAI,22.27921,114.17884,Entire home/apt,962,30,0,9,358,22.275147891304314,114.18205756086955,0.5596742781733159
4571,20611664,24358640,YAU TSIM MONG,22.31774,114.16866,Private room,321,1,64,39,362,22.3080085266259,114.17104818774976,1.108931162674201
4572,20613294,147332914,CENTRAL & WESTERN,22.28545,114.13592,Entire home/apt,501,7,3,1,0,22.284189950400627,114.14648174742455,1.095003429388132
4574,20632897,9134372,YAU TSIM MONG,22.31963,114.16985,Entire home/apt,469,12,5,17,3,22.3080085266259,114.17104818774976,1.2972986700225226
4575,20633335,117779016,YAU TSIM MONG,22.31736,114.1682,Private room,454,15,2,12,6,22.3080085266259,114.17104818774976,1.079647356836534
4576,20633360,9134372,YAU TSIM MONG,22.318839999999998,114.17048,Entire home/apt,540,15,5,17,14,22.3080085266259,114.17104818774976,1.2050652183657353
4577,20633908,117779016,YAU TSIM MONG,22.31951,114.16799999999999,Private room,501,28,2,12,32,22.3080085266259,114.17104818774976,1.3159574801749372
4578,20641346,115437533,CENTRAL & WESTERN,22.28514,114.1416,Entire home/apt,696,28,0,2,0,22.284189950400627,114.14648174742455,0.51294935872474
4580,20644505,135056940,WAN CHAI,22.27811,114.17981,Entire home/apt,900,4,87,4,137,22.275147891304314,114.18205756086955,0.40220091060041696
4581,20649083,37896850,CENTRAL & WESTERN,22.28138,114.15144,Entire home/apt,853,5,16,1,0,22.284189950400627,114.14648174742455,0.5978640602011885
4583,20659207,147762726,YAU TSIM MONG,22.32321,114.1703,Private room,501,1,57,5,173,22.3080085266259,114.17104818774976,1.6910156069688296
4584,20663581,147762726,YAU TSIM MONG,22.322860000000002,114.16965,Private room,501,1,66,5,169,22.3080085266259,114.17104818774976,1.656619171637128
4585,20669062,2767794,WAN CHAI,22.27887,114.17778999999999,Shared room,282,1,12,48,365,22.275147891304314,114.18205756086955,0.6030418699801743
4586,20669752,127547159,YAU TSIM MONG,22.29948,114.17275,Private room,524,1,17,6,143,22.3080085266259,114.17104818774976,0.9637487693417749
4587,20669821,21899232,CENTRAL & WESTERN,22.28691,114.14951,Private room,602,2,2,1,0,22.284189950400627,114.14648174742455,0.43396030391561025
4588,20669822,9517471,WAN CHAI,22.27637,114.1757,Private room,477,2,1,2,0,22.275147891304314,114.18205756086955,0.6677166097684846
